City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
232,Nanortalik,GL,60.1432,-45.2371,35.28,80,100,14.32,overcast clouds
233,Tabou,CI,4.423,-7.3528,80.2,83,51,8.16,moderate rain
234,Kaitangata,NZ,-46.2817,169.8464,46.99,93,33,3.0,scattered clouds
235,Saint George,US,37.1041,-113.5841,43.0,93,75,4.61,fog
236,Tocopilla,CL,-22.092,-70.1979,74.26,47,8,7.14,clear sky
237,Yar-Sale,RU,66.8333,70.8333,-23.89,86,100,15.84,light snow
238,Namibe,AO,-15.1961,12.1522,74.61,75,84,11.07,broken clouds
239,Chone,EC,-0.6833,-80.1,82.0,79,70,7.14,moderate rain
240,Srednekolymsk,RU,67.45,153.6833,-40.32,81,71,2.33,broken clouds
241,Motygino,RU,58.1831,94.7592,-38.0,78,0,3.27,clear sky
242,San Patricio,US,28.017,-97.5169,80.6,61,90,24.16,overcast clouds
243,Guarapuava,BR,-25.3953,-51.4581,66.16,93,100,2.62,overcast clouds
244,Quatre Cocos,MU,-20.2078,57.7625,79.0,89,75,5.75,light rain
245,Horta,PT,38.5333,-28.6333,64.4,88,75,16.11,broken clouds
246,South Yuba City,US,39.1166,-121.6391,51.01,66,90,3.44,overcast clouds
247,Nampula,MZ,-15.1165,39.2666,71.56,96,92,3.67,overcast clouds
248,Klaksvik,FO,62.2266,-6.589,35.6,93,40,9.22,scattered clouds
249,Sibiti,CG,-3.6819,13.3499,68.77,98,100,2.17,overcast clouds
250,Loralai,PK,30.3705,68.598,47.98,43,13,1.92,few clouds
251,Phan Thiet,VN,10.9333,108.1,71.04,77,99,7.0,light rain
252,Brae,GB,60.3964,-1.353,32.0,86,20,4.61,few clouds
253,Verkhniy Baskunchak,RU,48.2256,46.7217,31.44,93,46,9.71,scattered clouds
254,Auka,HN,14.9333,-83.8333,82.4,72,75,5.75,broken clouds
255,Olafsvik,IS,64.8945,-23.7142,23.22,91,30,21.0,scattered clouds
256,Mujiayingzi,CN,42.1167,118.7833,9.34,89,16,4.94,few clouds
257,Gold Coast,AU,-28.0,153.4333,72.0,94,75,2.3,moderate rain
258,Quelimane,MZ,-17.8786,36.8883,84.2,74,75,9.22,broken clouds
259,Ako,JP,34.75,134.4,45.0,65,12,1.01,few clouds
260,Tessalit,ML,20.1986,1.0114,69.6,18,81,6.15,broken clouds
261,Tenali,IN,16.2425,80.6398,77.0,73,40,3.44,mist
262,Grandview,US,38.8858,-94.533,48.99,100,90,12.66,moderate rain
263,Dogondoutchi,NE,13.6393,4.0287,79.66,15,5,7.65,clear sky
264,Beyneu,KZ,45.3167,55.2,33.4,93,72,7.4,broken clouds
265,Montepuez,MZ,-13.1256,38.9997,70.7,92,100,2.51,overcast clouds
266,Takaka,NZ,-40.85,172.8,53.01,89,0,1.01,clear sky
267,Lasa,IT,46.6166,10.7002,39.99,80,0,4.61,clear sky
268,Kasimov,RU,54.9411,41.3953,22.05,97,99,12.3,overcast clouds
269,Chernyshevskiy,RU,63.0128,112.4714,-32.82,85,100,4.88,overcast clouds
270,Green Valley,US,31.8543,-110.9937,55.0,95,0,4.32,clear sky
271,Jetpur,IN,21.7333,70.6167,55.29,39,0,4.32,clear sky
272,Asau,RO,46.4333,26.4,43.0,65,0,6.91,light rain
273,San Lazaro,BZ,18.0387,-88.6622,80.6,61,40,11.5,scattered clouds
274,Camara De Lobos,PT,32.6333,-16.9667,66.2,72,75,4.61,broken clouds
275,Marang,MY,5.2056,103.2059,78.8,83,40,8.05,scattered clouds
276,Lebu,CL,-37.6167,-73.65,62.11,71,5,9.95,clear sky
277,Kalmar,SE,56.6616,16.3616,25.0,93,100,5.75,overcast clouds
278,Ancud,CL,-41.8697,-73.8203,66.2,48,0,6.91,clear sky
279,Berlevag,NO,70.8578,29.0864,25.54,96,100,23.71,light snow
280,Khandbari,NP,27.3747,87.2039,46.69,52,1,2.46,clear sky
281,Praia Da Vitoria,PT,38.7333,-27.0667,66.2,82,75,25.81,broken clouds
282,Palmer,US,42.1584,-72.3287,21.0,41,20,4.61,few clouds
283,San Policarpo,PH,12.1791,125.5072,78.93,78,83,19.17,broken clouds
284,Curup,ID,-3.4667,102.5333,67.64,94,100,2.37,overcast clouds
285,Mantua,IT,45.1667,10.7833,43.0,75,40,1.14,scattered clouds
286,Shunyi,CN,40.125,116.6453,24.01,68,0,4.47,clear sky
287,Sargur,IN,11.9833,76.4167,69.31,76,5,2.28,light rain
288,Athabasca,CA,54.7169,-113.2854,-11.2,76,0,1.14,clear sky
289,Clyde River,CA,70.4692,-68.5914,-18.4,83,1,4.61,clear sky
290,Meulaboh,ID,4.1363,96.1285,75.83,84,77,5.03,light rain
291,Pizarro,CO,4.9533,-77.366,84.09,68,46,6.24,scattered clouds
292,Henties Bay,NA,-22.116,14.2845,68.0,83,29,3.0,scattered clouds
293,Camacha,PT,33.0833,-16.3333,64.4,94,75,9.22,broken clouds
294,Livingston,GB,55.9029,-3.5226,35.6,87,75,6.91,broken clouds
295,Wagar,SD,16.1525,36.2032,68.38,68,0,18.28,clear sky
296,Luba,GQ,3.4568,8.5547,86.0,74,20,8.05,few clouds
297,Abu Samrah,SY,35.3029,37.1841,49.15,68,92,11.54,overcast clouds
298,Dhidhdhoo,MV,6.8833,73.1,82.11,66,82,7.72,broken clouds
299,Mahanje,TZ,-9.9333,35.3333,67.86,92,89,3.33,light rain
300,Kununurra,AU,-15.7667,128.7333,78.8,100,75,3.44,broken clouds
301,Waipawa,NZ,-41.4122,175.5153,51.8,87,50,2.3,scattered clouds
